#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
25649079817828,0.0061534941,-0.0499632359,-0.3655724525,0.5139621496,-0.3875246346,-0.6342759728,0.4282073379,-0.2167882323,-0.2169835567,-0.2819788456,0.8633863330,-0.3552670777,0.2895114124,-0.2110272646
25649086912089,0.0061850250,-0.0498815775,-0.3653119802,0.5213903189,-0.3917132318,-0.6297133565,0.4221066236,-0.2196398526,-0.2119101882,-0.2816940546,0.8606160283,-0.3502497375,0.2992398739,-0.2170732468
25649093846208,0.0065079182,-0.0506140590,-0.3656341434,0.5283364058,-0.3961047530,-0.6254694462,0.4156317413,-0.2238950580,-0.2096135020,-0.2821999192,0.8575229049,-0.3450217843,0.3092168868,-0.2236054391
25649100845129,0.0054523945,-0.0532942712,-0.3675330877,0.5338787436,-0.4004438519,-0.6218649149,0.4097589552,-0.2262516916,-0.2058560848,-0.2816878557,0.8544688821,-0.3401998878,0.3183741570,-0.2297497094
25649107696296,0.0032472014,-0.0532287955,-0.3679363132,0.5395663977,-0.4037682414,-0.6186897755,0.4038096368,-0.2271907181,-0.1996503770,-0.2806270719,0.8511961102,-0.3351384699,0.3277757466,-0.2360306978
25649114592686,0.0035834759,-0.0538127422,-0.3681077957,0.5445791483,-0.4069414735,-0.6161800623,0.3976860940,-0.2308121920,-0.1985978186,-0.2802258730,0.8480579853,-0.3293528259,0.3366301358,-0.2429086268
25649121576906,0.0015581250,-0.0540564358,-0.3685807586,0.5493948460,-0.4100905359,-0.6135488749,0.3918530941,-0.2341648042,-0.1962818801,-0.2809036374,0.8448135853,-0.3246277273,0.3450466692,-0.2486957163
25649128519595,0.0025295913,-0.0541693568,-0.3685100079,0.5535063148,-0.4130624533,-0.6116694808,0.3858376443,-0.2342008054,-0.1907321215,-0.2797791958,0.8420070410,-0.3204386234,0.3523427248,-0.2533731461
25649135501985,0.0006463081,-0.0542255640,-0.3689163327,0.5577507019,-0.4161525369,-0.6094305515,0.3799021840,-0.2371302098,-0.1900349557,-0.2795844674,0.8389004469,-0.3158642054,0.3597289920,-0.2589805722
25649142376303,-0.0012317002,-0.0540892184,-0.3693729043,0.5616577864,-0.4190637469,-0.6073756814,0.3741937876,-0.2399455756,-0.1880679131,-0.2800831199,0.8360150456,-0.3118483722,0.3666576445,-0.2634229064
