#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
59157814108721,-0.0116321743,-0.1241657734,-0.4413617253,-0.5114782453,0.0727614462,0.4563795924,-0.7244401574,-0.1087111533,-0.2537505627,-0.3556672931,0.9255331755,-0.3759434521,-0.0423173718,-0.0162534174
59157821068167,-0.0118428990,-0.1231293678,-0.4410629869,-0.5186225176,0.0695802122,0.4542291462,-0.7210168242,-0.1094051525,-0.2528525591,-0.3556300998,0.9260782003,-0.3747211099,-0.0410260670,-0.0167385545
59157827988603,-0.0120240003,-0.1221740246,-0.4407824576,-0.5262699723,0.0659559667,0.4520499408,-0.7171754241,-0.1101412326,-0.2521617413,-0.3556968272,0.9266765118,-0.3733475208,-0.0398189127,-0.0172263533
59157834981930,-0.0135888159,-0.1214894056,-0.4412124753,-0.5334706306,0.0621435642,0.4501044750,-0.7134096622,-0.1107793748,-0.2516746521,-0.3558947444,0.9272316098,-0.3720657825,-0.0386599489,-0.0177203380
59157842297372,-0.0137448758,-0.1206797361,-0.4409915507,-0.5400432944,0.0582301691,0.4485030472,-0.7097940445,-0.1113781780,-0.2508242130,-0.3558262885,0.9277762771,-0.3707912266,-0.0376143232,-0.0181716885
59157848873083,-0.0136424601,-0.1197544336,-0.4407082498,-0.5468514562,0.0539475605,0.4469683766,-0.7058771253,-0.1119615138,-0.2501404285,-0.3558699787,0.9283587933,-0.3694179654,-0.0364906713,-0.0186768454
59157855821239,-0.0149738193,-0.1190937757,-0.4412165582,-0.5534670949,0.0495743118,0.4454795122,-0.7019719481,-0.1124991775,-0.2497205734,-0.3561247289,0.9288608432,-0.3682149351,-0.0355599411,-0.0192555450
59157862667213,-0.0150769874,-0.1183685064,-0.4410720170,-0.5597518682,0.0450009964,0.4444482028,-0.6979387403,-0.1129673049,-0.2489119768,-0.3561269939,0.9293247461,-0.3670847714,-0.0347042866,-0.0199995469
59157869659501,-0.0150152296,-0.1175405979,-0.4409039319,-0.5662332773,0.0400841124,0.4436563849,-0.6934999228,-0.1135046333,-0.2482393980,-0.3562663496,0.9298175573,-0.3658454418,-0.0338890739,-0.0211649295
59157876608257,-0.0164325535,-0.1168526411,-0.4413981438,-0.5727006793,0.0351242051,0.4427780509,-0.6890049577,-0.1139032543,-0.2478241920,-0.3565261364,0.9302422404,-0.3647846282,-0.0330167040,-0.0221699439
59157883612024,-0.0163110793,-0.1159979105,-0.4412918985,-0.5786762834,0.0302056838,0.4425663948,-0.6843656301,-0.1142798364,-0.2467784882,-0.3565060794,0.9306060672,-0.3638778627,-0.0320291072,-0.0232264679
59157890487940,-0.0162405446,-0.1151262522,-0.4412042499,-0.5846583843,0.0252551921,0.4424616098,-0.6795325279,-0.1146837547,-0.2463879585,-0.3567612171,0.9310033321,-0.3628603816,-0.0312642530,-0.0242438316
59157897474116,-0.0165386498,-0.1146183014,-0.4408596754,-0.5905104280,0.0205481164,0.4421004355,-0.6748499870,-0.1150091588,-0.2455677986,-0.3568222523,0.9313906431,-0.3618948162,-0.0302459542,-0.0250767246
59157904614217,-0.0164642930,-0.1138052940,-0.4406450093,-0.5963246226,0.0157492179,0.4419207871,-0.6699663401,-0.1153210998,-0.2447435856,-0.3567946255,0.9318152666,-0.3608292341,-0.0292390063,-0.0258395020
59157911302068,-0.0175336599,-0.1129072905,-0.4414069057,-0.6021346450,0.0109634530,0.4415816963,-0.6650708318,-0.1159996390,-0.2439538240,-0.3570455313,0.9322284460,-0.3597253561,-0.0290694702,-0.0265126787
59157918289135,-0.0177233815,-0.1124300957,-0.4409234226,-0.6075212359,0.0063717323,0.4411641359,-0.6604935527,-0.1162924767,-0.2434237003,-0.3570865095,0.9326242805,-0.3587362468,-0.0281371884,-0.0269942302
59157925224862,-0.0174508095,-0.1118671894,-0.4404951930,-0.6128488779,0.0017977051,0.4407290816,-0.6558741927,-0.1168596148,-0.2428457737,-0.3572658300,0.9328964353,-0.3580215275,-0.0280661508,-0.0271517355
59157932190068,-0.0185346827,-0.1109883785,-0.4412728846,-0.6183801889,-0.0029688615,0.4401765168,-0.6510313153,-0.1175242290,-0.2421818972,-0.3575871289,0.9332388639,-0.3571313620,-0.0277334321,-0.0274472740
59157939108575,-0.0188185647,-0.1105053425,-0.4407921731,-0.6236096621,-0.0073695430,0.4393492043,-0.6465516090,-0.1178842261,-0.2417198420,-0.3577121198,0.9335708618,-0.3563117087,-0.0268841255,-0.0276530832
